token_name,token_symbol,is_open_source,is_honeypot,transfer_pausable,sell_tax,buy_tax,dex_liquidity
CAPO AI CEO,CAPOAICEO,1,0.0,0.0,0.0023,0.0,0.00000000
Mancium,MANC,1,1.0,0.0,,0.0,0.00000000
Peppa Elon,PELA,1,0.0,0.0,0.0,0.0,0.01274768
NFTBlackMarket,NBM,1,1.0,0.0,,0.0,0.00000000
Simba,SIMBA,1,0.0,0.0,0.0,0.0,0.00190719
FuseCapital,FUSE,1,1.0,0.0,0.0,0.0,0.00000000
Oracle AI,ORACLEAI,1,1.0,0.0,0.0,0.0,0.37395508
John McAfee,JohnMcAfee,1,1.0,0.0,0.0,0.001,0.00282382
BAB,BAB,1,0.0,0.0,0.0,0.04,0.00038021
BabyOGGY,BabyOGGY,1,0.0,0.0,,0.0,0.00003958
KloverNetwork,KVN,1,1.0,0.0,0.0,0.0,0.31973000
&#10084;LV,&#10084;LV,0,,,0.0,0.0,0.60166592
Box Wallet,BOXW,1,1.0,0.0,0.0,0.001,0.00243593
Beast,BEAST,1,1.0,0.0,0.0,0.0,0.60261961
Spacex Floki Ceo,SXFC,1,1.0,0.0,0.0,0.005,0.00317090
Larva,LARVA,1,1.0,0.0,0.0,0.001,0.00306154
Lazy Town,LAZY,1,0.0,0.0,0.0,0.0,0.01636861
Lazy Town,LAZY,1,0.0,0.0,0.0,0.0,0.01284549
HaHa,HaHa,1,0.0,1.0,0.4506,0.06,0.26922582
Koduck,Koduck,1,0.0,0.0,0.9089,0.0,0.00318199
Affyn,FYN,1,1.0,0.0,,0.0,0.00000000
Garfield,$GARFIELD,1,1.0,0.0,,0.0,0.00165684
EL PEPE,ELPEPE,1,0.0,0.0,1.0,0.08,0.07315840
MongBNB,MONGBNB,1,1.0,0.0,0.0,0.001,0.00295679
PlanetCats,CATCOIN,1,1.0,0.0,,0.0,0.00000000
SuiNetwork  pepe,Suipepe,1,0.0,0.0,1.0,0.1,0.06402735
QMGF,QMGF,0,,,0.0,0.06,0.00000026
POGAI,POGAI,1,1.0,0.0,0.0,0.0,0.05973280
POP Coin,POP,0,,,0.0062,0.05,0.40359236
Etheria,ETH,1,1.0,0.0,0.0,0.0,0.00000000
MELO,MEL,1,0.0,0.0,0.0,0.0,0.11803599
God Refund,GODRFD,1,0.0,0.0,0.5644,0.0,0.00041228
Net Bion,NTB,0,,,0.0,0.0,0.05277561
HABIBI,HABIBI,1,1.0,0.0,0.0,0.001,0.00817632
AllianceBlockNexera,NXRA,1,1.0,0.0,,0.0,0.00000000
馬雲Alibaba,馬雲Alibaba,1,1.0,0.0,0.0,0.0,0.46302745
SAFU RUG,SAFURUG,1,0.0,0.0,0.0,0.0,0.00000000
MRBOB,MRBOB,1,1.0,0.0,0.0,0.001,0.00233888
SmartMoney Meta,SMAR,1,1.0,0.0,0.0,0.0,1.85631538
OPENCAMPUS,EDU,1,1.0,0.0,,0.0,0.00000000
PEPE FOOTBALL,PEPEFOOTBALL,1,0.0,0.0,0.0371,0.0,0.00000000
Cash Blox,CASH,1,1.0,0.0,0.0,0.0,0.00000000
Convergence,XET,1,1.0,0.0,,0.0,0.00000000
Sasuke,SASUKE,1,0.0,0.0,0.1702,0.02,4.77443494
Green Whale Challenge,GWC,1,1.0,0.0,0.0001,0.001,0.32139493
OSKDAO,OSKDAO,1,0.0,0.0,0.01,0.01,0.07728863
BITBOX,BITBOX,1,1.0,0.0,,0.0,0.00000000
Pesabase,PESA,1,1.0,0.0,0.0,0.0,0.04950220
NarutoPEPE,NarutoPEPE,0,,,0.0,0.0,0.32317277
ShibaDoge,SHIBDOGE,1,1.0,0.0,,0.0,0.00000000
Solcial,SANI,1,1.0,0.0,,0.0,0.00000000
Cz Inu,CZINU,1,0.0,0.0,0.8817,0.0,0.00236431
Fintra,FINT,1,1.0,0.0,0.0,0.0,0.00000000
GreenSprout,GREE,1,1.0,0.0,0.0,0.0,0.00000000
HONG KONG FLOKI,HKFLOKI,1,1.0,0.0,0.0,0.001,0.00272317
John From Mcdonalds,JOHN,1,0.0,0.0,0.0,0.0,0.01275768
PepeOriginalPunk,POP,1,1.0,0.0,0.0,0.0,0.31845000
UIV,UIV,0,,,0.0,0.06,0.00000273
Rope,ROPE,1,1.0,0.0,0.0,0.001,0.00296269
FTCDAO,FTCDAO,1,0.0,0.0,0.9943,0.01,0.00075591
JUSTANEGG,EGG,0,1.0,,,0.0,0.00000000
SAFEMARS,SMARS,1,1.0,0.0,,0.0,0.00000000
Jake Inu,JAKE,1,1.0,0.0,0.0005,0.005,0.32351976
Optimism,OP,1,1.0,0.0,0.0,0.0,0.00957690
NEVER BROKE AGAIN,NBA,1,1.0,0.0,0.0,0.001,0.00199902
Olaf Token,OT,1,1.0,0.0,0.0,0.001,0.00305110
UnifiProtocolDAO,UNFI,1,1.0,0.0,,0.0,0.00000000
Shiba Universe,SHU,1,1.0,0.0,0.0,0.0,0.00000000
Glenn Quagmire,GIGGITY,1,1.0,0.0,,0.0,0.00028263
FitBurn,CAL,1,0.0,0.0,0.0029,0.0,0.00000000
TROLLBNB,TROLLBNB,1,1.0,0.0,,0.0,0.00000000
Mr Bean G P T,BEANGPT,1,0.0,0.0,0.0,0.0,0.01434929
Box Wallet,BOXW,0,,,0.0061,0.06,0.31249043
DunkPEPE,DunkPEPE,0,,,0.0,0.0,0.00232778
SGO,SGO,1,1.0,0.0,0.0,0.0,0.60205298
MiniPepe,MiniPepe,0,,,,0.0,0.00000000
RABBIT,RBT,1,1.0,0.0,0.0,0.001,0.00398495
Walter I N U,WalterINU,1,0.0,0.0,0.0,0.0,0.33919665
TOAD,TOAD,1,1.0,0.0,0.0001,0.001,0.32091576
AUSMININGTOKEN,AUSMT,1,1.0,0.0,,0.0,0.00000000
BERT,BERT,1,1.0,0.0,0.0,0.001,0.00295971
BIBIINU,BIBIINU,1,1.0,0.0,0.6256,0.03,0.03263847
✝️ Jesus,✝️ JESUS,1,0.0,0.0,0.0,0.0,0.01877565
OmniVault,OMN,1,1.0,0.0,0.0,0.0,0.00000000
PepeNetwork,PN,1,0.0,0.0,0.9832,0.0,0.01867987
Moon Gem,MM,1,1.0,0.0,0.0,0.0,0.00000000
Binance-Peg wBETH Token,wBETH,1,1.0,0.0,0.0,0.0,0.34534227
Baby Jerry Inu,BabyJerry,1,0.0,0.0,0.0,0.1,0.00000000
PepeATH,PepeATH,1,0.0,0.0,,0.09,0.00000000
Nexon,Nexon,0,,,0.0,0.05,0.00225156
Shardeum,SHM,0,,,,0.12,0.26849062
Pepe Japan,$PepeJAPAN,1,1.0,0.0,0.0,0.0,0.02074231
AdventureGold,AGLD,1,1.0,0.0,0.0,0.0,0.03179333
Psyop Coin,PSYOP,1,1.0,0.0,0.0,0.001,0.00303810
Käärijä,KAAR,1,1.0,0.0,0.0,0.001,0.00362407
MissPiggy,PIGGY,1,1.0,0.0,0.0,0.001,0.00315825
PepeGPT,PepeGPT,1,1.0,0.0,,0.0,0.00000000
LADYS,LADYS,1,0.0,0.0,0.9866,0.1335,0.00000000
RUPIAHTOKEN,IDRT,1,1.0,0.0,,0.0,0.00000000
President Ron DeSantis,RON,1,1.0,0.0,0.0,0.0,0.05367547
BitUP,BITUP,1,1.0,0.0,,0.0,0.00000000
Send Coin,SENDIT,0,,,0.0007,0.12,0.00086586
My Heart Is Cold,COLD,1,0.0,0.0,0.0,0.0,0.08924104
Pineapple Under The Sea,PINEAPPLE,1,0.0,0.0,0.0,0.0,0.00010743
ATTACKONPEPE,AOPEPE,1,0.0,0.0,0.9852,0.08,0.62875396
Lord Farquad,FARQUAD,1,0.0,0.0,0.0,0.0,0.15683950
WaiterPEPE,WPEPE,1,1.0,0.0,0.0001,0.02,0.01199387
fantasy coin,FTY,1,0.0,0.0,,,0.07740666
LimeWire,LMWR,0,,,0.0,0.0,0.33217366
